sequence,run_id,repetition,cell,candidate,scenario,cwd,sandbox,prompt_sha256,status
187,r3-c13-b0,3,13,B0,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
188,r3-c13-b1,3,13,B1,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
189,r3-c14-b2,3,14,B2,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
190,r3-c14-b3,3,14,B3,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
191,r3-c14-b0,3,14,B0,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
192,r3-c14-b1,3,14,B1,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
193,r3-c15-b2,3,15,B2,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
194,r3-c15-b3,3,15,B3,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
195,r3-c15-b0,3,15,B0,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
196,r3-c15-b1,3,15,B1,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
197,r3-c16-b2,3,16,B2,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
198,r3-c16-b3,3,16,B3,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
199,r3-c16-b0,3,16,B0,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
200,r3-c16-b1,3,16,B1,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
201,r3-c17-b2,3,17,B2,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
202,r3-c17-b3,3,17,B3,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
203,r3-c17-b0,3,17,B0,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
204,r3-c17-b1,3,17,B1,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
